name,price,color,mpg,drive_type,engine,mileage
Certified 2017 Volkswagen Tiguan SEL,21995,black,20 city / 24 highway,2 wheel drive - front,4-cylinder turbo,21568
Used 2016 RAM 1500 4x4 Crew Cab ST,23995,blue,16 city / 23 highway,4 wheel drive,8-cylinder,36511
Used 2014 Jeep Wrangler 4WD Unlimited Rubicon,27777,blue,16 city / 21 highway,4 wheel drive,6-cylinder,68494
Used 2019 Honda CR-V AWD EX-L,28995,silver,27 city / 33 highway,all wheel drive,4-cylinder turbo,12346
Used 2017 BMW 330i Gran Turismo xDrive,23460,gray,23 city / 33 highway,all wheel drive,4-cylinder turbo,44148
Certified 2018 Toyota Tacoma w/ SR5 Package,29987,blue,18 city / 22 highway,4 wheel drive,6-cylinder,4707
Used 2008 BMW M6 Coupe,20500,black,11 city / 17 highway,2 wheel drive - rear,10-cylinder,59052
Certified 2017 Subaru Forester 2.5i Touring,24991,green,26 city / 32 highway,all wheel drive,4-cylinder,23685
Used 2017 Toyota Tacoma TRD Off-Road,29991,gray,18 city / 23 highway,4 wheel drive,6-cylinder,20894
Used 2019 RAM 2500 Tradesman,38499,silver,undefined,4 wheel drive,8-cylinder,9653
Used 2012 Volkswagen Passat TDI SE,10991,white,30 city / 40 highway,2 wheel drive - front,4-cylinder turbo,48199
New 2019 RAM 1500 4x4 Crew Cab Classic Tradesman,30118,silver,16 city / 23 highway,4 wheel drive,8-cylinder,undefined
Used 2017 Ford Fusion SE,13400,white,21 city / 32 highway,2 wheel drive - front,4-cylinder,23066
Used 2015 Volkswagen Passat TDI SE,14991,silver,29 city / 40 highway,2 wheel drive - front,4-cylinder turbo,19051
Used 2016 Honda Accord Sport Sedan,17991,burgundy,27 city / 36 highway,2 wheel drive - front,4-cylinder,16332
Used 2014 Chevrolet Silverado 1500 4x4 Crew Cab LT,22991,white,17 city / 22 highway,4 wheel drive,8-cylinder,74416
Certified 2019 Subaru Outback Premium,26991,red,25 city / 32 highway,all wheel drive,4-cylinder,9344
Used 2019 Toyota Camry XLE Hybrid,28498,red,29 city / 41 highway,2 wheel drive - front,4-cylinder,9337
Used 2017 Honda Pilot 4WD Touring,34484,blue,19 city / 26 highway,all wheel drive,6-cylinder,18041
Used 2008 Audi A6 3.2 quattro Sedan,5995,beige,17 city / 25 highway,all wheel drive,6-cylinder,157325
Used 2018 Ford Escape FWD SE,18993,silver,21 city / 28 highway,2 wheel drive - front,4-cylinder turbo,7055
Used 2016 BMW 228i Coupe,18996,white,23 city / 35 highway,2 wheel drive - rear,4-cylinder turbo,26381
Used 2014 Ford F150 XLT,19783,blue,16 city / 22 highway,2 wheel drive - rear,6-cylinder turbo,37947
Used 2016 Ford Escape 4WD Titanium,19983,red,22 city / 29 highway,4 wheel drive,4-cylinder turbo,23300
Used 2017 Ford Edge AWD SEL,24373,white,20 city / 27 highway,all wheel drive,4-cylinder turbo,15409
Used 2018 Ford Transit 250 130" Low Roof,24775,white,undefined,2 wheel drive - rear,6-cylinder,12666
Used 2018 Ford Transit 250 130" Low Roof,25235,white,undefined,2 wheel drive - rear,6-cylinder,7006
Used 2015 Chevrolet Tahoe 4WD LT,38560,silver,16 city / 22 highway,4 wheel drive,8-cylinder,28749
Used 2003 Ford Ranger 2WD SuperCab,6791,white,16 city / 21 highway,2 wheel drive - rear,6-cylinder,94471
Used 2016 Kia Soul,9991,white,24 city / 30 highway,2 wheel drive - front,4-cylinder,59498
Used 2017 Volkswagen Passat 1.8T SE,13991,silver,23 city / 34 highway,2 wheel drive - front,4-cylinder turbo,36500
Used 2018 Chevrolet Malibu LT w/ 1LT,15397,beige,27 city / 36 highway,2 wheel drive - front,4-cylinder turbo,21407
New 2019 Jeep Cherokee FWD Latitude,20990,white,22 city / 31 highway,2 wheel drive - front,4-cylinder,undefined
Used 2018 Cadillac XT5 FWD,27650,silver,19 city / 26 highway,2 wheel drive - front,6-cylinder,12799
Used 2018 Subaru Legacy Premium,18697,red,25 city / 34 highway,all wheel drive,4-cylinder,21676
Certified 2019 Subaru Crosstrek 2.0i Limited,27991,white,27 city / 33 highway,all wheel drive,4-cylinder,10976
Certified 2019 Subaru Outback Limited,31331,gray,25 city / 32 highway,all wheel drive,4-cylinder,10519
Used 2015 Toyota Tundra SR5,27000,gray,13 city / 17 highway,4 wheel drive,8-cylinder,45345
Used 2013 Volkswagen Jetta TDI,12495,white,29 city / 37 highway,2 wheel drive - front,4-cylinder turbo,27500
Certified 2020 Toyota RAV4 AWD XSE Hybrid,39898,white,41 city / 38 highway,all wheel drive,4-cylinder,30
Used 2015 Volkswagen Passat TDI SEL Premium,13495,blue,29 city / 40 highway,2 wheel drive - front,4-cylinder turbo,46655
Certified 2016 Volkswagen Passat 1.8T S,13995,white,undefined,2 wheel drive - front,4-cylinder turbo,49109
Used 2016 Ford C-MAX SEL,14995,black,42 city / 37 highway,2 wheel drive - front,4-cylinder,33096
Used 2016 Hyundai Santa Fe FWD Sport,15995,black,20 city / 27 highway,2 wheel drive - front,4-cylinder,30413
Used 2015 Volkswagen Golf SEL,17995,gray,31 city / 41 highway,2 wheel drive - front,4-cylinder turbo,22390
Used 2017 Kia Sedona LX,19495,red,18 city / 24 highway,2 wheel drive - front,6-cylinder,27479
Certified 2017 Volkswagen Golf R 4-Door,31495,gray,23 city / 30 highway,all wheel drive,4-cylinder turbo,26647
Used 2019 Volkswagen GTI Autobahn,33495,blue,25 city / 31 highway,2 wheel drive - front,4-cylinder turbo,1210
Used 2017 Ford Taurus SEL,14749,silver,18 city / 27 highway,2 wheel drive - front,6-cylinder,28345
Used 2018 Chevrolet Silverado 1500 W/T,17495,white,16 city / 23 highway,2 wheel drive - rear,8-cylinder,14754
Used 2018 Chevrolet Silverado 1500 W/T,17995,white,16 city / 23 highway,2 wheel drive - rear,8-cylinder,10011
Used 2017 Ford Fusion Titanium,17995,white,21 city / 31 highway,2 wheel drive - front,4-cylinder turbo,27520
Used 2018 GMC Sierra 1500 4x4 Double Cab,27990,white,16 city / 22 highway,4 wheel drive,8-cylinder,18360
Used 2000 Honda Civic EX Coupe,1998,green,24 city / 32 highway,2 wheel drive - front,4-cylinder,211843
Used 2017 Hyundai Accent SE,10993,gray,26 city / 36 highway,2 wheel drive - front,4-cylinder,40559
Used 2016 Volkswagen Passat 1.8T S,12472,blue,25 city / 36 highway,2 wheel drive - front,4-cylinder turbo,51900
Used 2016 Kia Soul,12909,white,24 city / 30 highway,2 wheel drive - front,4-cylinder,30430
Used 2016 Dodge Grand Caravan SXT,14999,gray,17 city / 25 highway,2 wheel drive - front,6-cylinder,47763
Used 2013 Jeep Grand Cherokee Limited,17499,red,16 city / 23 highway,4 wheel drive,8-cylinder,96846
Used 2018 Nissan Rogue Sport S,17500,black,24 city / 30 highway,all wheel drive,4-cylinder,24295
Used 2017 Lexus ES 350,20730,black,21 city / 30 highway,2 wheel drive - front,6-cylinder,73105
Used 2014 Chevrolet Silverado 1500 4x4 Crew Cab LT,21977,white,17 city / 22 highway,4 wheel drive,8-cylinder,95120
Used 2018 Ford Escape FWD SE,17500,white,21 city / 28 highway,2 wheel drive - front,4-cylinder turbo,21624
Used 2019 Hyundai Kona AWD SE,19564,gray,25 city / 30 highway,all wheel drive,4-cylinder,13292
Used 2017 Toyota Prius Four Touring,23500,white,54 city / 50 highway,2 wheel drive - front,4-cylinder,27519
Used 2016 Ford F150 XL,23999,white,18 city / 24 highway,2 wheel drive - rear,6-cylinder,37622
Used 2018 Ford Edge AWD Titanium,25993,black,20 city / 27 highway,all wheel drive,4-cylinder turbo,24612
Used 2019 Volkswagen Passat 2.0T Wolfsburg,17990,black,25 city / 36 highway,2 wheel drive - front,4-cylinder turbo,23520
Used 2017 Ford Explorer 4WD Limited,28500,black,16 city / 22 highway,4 wheel drive,6-cylinder,44392
Used 2019 Ford Edge AWD Titanium,29999,silver,21 city / 28 highway,all wheel drive,4-cylinder turbo,14895
Used 2019 Toyota 4Runner SR5,32500,black,17 city / 20 highway,4 wheel drive,6-cylinder,14883
Used 2017 Jeep Wrangler Sport,32606,silver,17 city / 21 highway,4 wheel drive,6-cylinder,17491
Used 2019 Ford Ranger Lariat,36500,blue,20 city / 24 highway,4 wheel drive,4-cylinder turbo,445
Used 2017 Ford F350 XL,37979,white,undefined,4 wheel drive,8-cylinder,17852
Used 2018 Jeep Wrangler 4WD Unlimited Rubicon,44500,red,undefined,4 wheel drive,4-cylinder turbo,16491
Used 2006 Honda Odyssey EX,4991,blue,19 city / 25 highway,2 wheel drive - front,6-cylinder,154001
Used 2018 Ford Fiesta SE Sedan,9991,gray,27 city / 37 highway,2 wheel drive - front,4-cylinder,44281
Used 2019 Hyundai Tucson Value,19491,white,22 city / 25 highway,all wheel drive,4-cylinder,16571
Used 2019 Hyundai Santa Fe AWD SE,20991,black,21 city / 27 highway,all wheel drive,4-cylinder,24052
Certified 2018 Subaru Outback Premium,23491,red,25 city / 32 highway,all wheel drive,4-cylinder,38084
Certified 2018 Subaru Crosstrek 2.0i Premium,23500,blue,27 city / 33 highway,all wheel drive,4-cylinder,33716
Used 2018 RAM 3500 Tradesman,43000,silver,undefined,4 wheel drive,6-cylinder turbo,6908
Used 2004 Chevrolet TrailBlazer LS,3495,tan,14 city / 19 highway,2 wheel drive - rear,6-cylinder,163427
Used 2010 Jaguar XF R,16495,gray,15 city / 21 highway,2 wheel drive - rear,8-cylinder supercharged,71854
Certified 2017 Volkswagen Tiguan SEL,21995,black,20 city / 24 highway,2 wheel drive - front,4-cylinder turbo,21568
Used 2016 RAM 1500 4x4 Crew Cab ST,23995,blue,16 city / 23 highway,4 wheel drive,8-cylinder,36511
Used 2014 Jeep Wrangler 4WD Unlimited Rubicon,27777,blue,16 city / 21 highway,4 wheel drive,6-cylinder,68494
Used 2019 Honda CR-V AWD EX-L,28995,silver,27 city / 33 highway,all wheel drive,4-cylinder turbo,12346
New 2019 FIAT 124 Spider,24990,gray,25 city / 36 highway,2 wheel drive - rear,4-cylinder turbo,undefined
Used 2017 BMW X5 xDrive35i,33280,blue,18 city / 24 highway,all wheel drive,6-cylinder turbo,43834
Used 2008 BMW M6 Coupe,20500,black,11 city / 17 highway,2 wheel drive - rear,10-cylinder,59052
Certified 2017 Subaru Forester 2.5i Touring,24991,green,26 city / 32 highway,all wheel drive,4-cylinder,23685
Used 2017 Toyota Tacoma TRD Off-Road,29991,gray,18 city / 23 highway,4 wheel drive,6-cylinder,20894
Used 2019 RAM 2500 Tradesman,38499,silver,undefined,4 wheel drive,8-cylinder,9653
Used 2012 Volkswagen Passat TDI SE,10991,white,30 city / 40 highway,2 wheel drive - front,4-cylinder turbo,48199
Used 2019 Chevrolet Colorado 4x4 Extended Z71,30982,white,17 city / 24 highway,4 wheel drive,6-cylinder,3204
Used 2017 Ford Fusion SE,13400,white,21 city / 32 highway,2 wheel drive - front,4-cylinder,23066
Used 2015 Volkswagen Passat TDI SE,14991,silver,29 city / 40 highway,2 wheel drive - front,4-cylinder turbo,19051
Used 2016 Honda Accord Sport Sedan,17991,burgundy,27 city / 36 highway,2 wheel drive - front,4-cylinder,16332
Used 2014 Chevrolet Silverado 1500 4x4 Crew Cab LT,22991,white,17 city / 22 highway,4 wheel drive,8-cylinder,74416
Certified 2019 Subaru Outback Premium,26991,red,25 city / 32 highway,all wheel drive,4-cylinder,9344
Used 2019 Toyota Camry XLE Hybrid,28498,red,29 city / 41 highway,2 wheel drive - front,4-cylinder,9337
Used 2017 Honda Pilot 4WD Touring,34484,blue,19 city / 26 highway,all wheel drive,6-cylinder,18041
Used 2008 Audi A6 3.2 quattro Sedan,5995,beige,17 city / 25 highway,all wheel drive,6-cylinder,157325
Used 2018 Ford Escape FWD SE,18993,silver,21 city / 28 highway,2 wheel drive - front,4-cylinder turbo,7055
Used 2016 BMW 228i Coupe,18996,white,23 city / 35 highway,2 wheel drive - rear,4-cylinder turbo,26381
Used 2014 Ford F150 XLT,19783,blue,16 city / 22 highway,2 wheel drive - rear,6-cylinder turbo,37947
Used 2016 Ford Escape 4WD Titanium,19983,red,22 city / 29 highway,4 wheel drive,4-cylinder turbo,23300
Used 2017 Ford Edge AWD SEL,24373,white,20 city / 27 highway,all wheel drive,4-cylinder turbo,15409
Used 2018 Ford Transit 250 130" Low Roof,24775,white,undefined,2 wheel drive - rear,6-cylinder,12666
Used 2018 Ford Transit 250 130" Low Roof,25235,white,undefined,2 wheel drive - rear,6-cylinder,7006
Used 2015 Chevrolet Tahoe 4WD LT,38560,silver,16 city / 22 highway,4 wheel drive,8-cylinder,28749
